"","ID_10m","PM1","PM25","PM10","TempC","RH","CO2"
"1",2020-03-04 18:00:00,1.51909542246526,3.75326271463468,28.5066663907727,21.6,33.5,572
"2",2020-03-04 18:10:00,1.44972613123448,3.73034449040829,25.3672267118953,22.25,32,490.5
"3",2020-03-04 18:20:00,1.38821647749481,3.4669017259412,18.0722441453476,22.75,31,499
"4",2020-03-04 18:30:00,1.36190226584653,3.39994283066409,16.4261682606202,23.25,30,481
"5",2020-03-04 18:40:00,1.34772164749975,3.43608420157206,20.5024655517067,23.6,29.5,455.5
"6",2020-03-04 18:50:00,1.31568703907067,3.42792028035357,18.8973078449309,23.65,29,447.5
"7",2020-03-04 19:00:00,1.32471441113018,3.50920486775324,19.2288675778284,23.95,29,437
"8",2020-03-04 19:10:00,1.27724180202334,3.24302515150074,24.6713447517396,23.9,29,453
"9",2020-03-04 19:20:00,1.23374023793746,3.22210396720866,14.1269495924693,23.85,29,440.5
"10",2020-03-04 19:30:00,1.19665242971737,3.02437288559839,11.7065368615572,23.75,29,424
"11",2020-03-04 19:40:00,1.26359889227868,3.15260895045716,13.825056226327,23.85,28.5,417.5
"12",2020-03-04 19:50:00,1.24086011612613,3.0298713495035,12.1470373640656,23.95,28,405
"13",2020-03-04 20:00:00,1.24904536873226,3.08773343765598,17.2640327504948,23.95,28,418.5
"14",2020-03-04 20:10:00,1.26202891231836,3.02587915106834,16.9340265223024,23.75,28,412
"15",2020-03-04 20:20:00,1.26060995553154,3.01865381090598,18.9230434140866,23.75,28,416.5
"16",2020-03-04 20:30:00,1.25099987301518,3.01291465063998,15.2942735761384,23.9,28,411.5
"17",2020-03-04 20:40:00,1.2395653847982,2.94019056012555,12.4804407492197,23.95,28,409.5
"18",2020-03-04 20:50:00,1.1852147634033,2.83874371801786,14.0117412848832,23.75,28,411
"19",2020-03-04 21:00:00,1.12808440032382,2.69967883397231,16.631661933349,23.8,27,403
"20",2020-03-04 21:10:00,1.07472661645849,2.87341515546177,27.3527079579593,23.95,27,412
"21",2020-03-04 21:20:00,1.00064596155922,2.57611131745808,20.3694823759434,23.95,27,407
"22",2020-03-04 21:30:00,0.956254911661001,2.48591435426386,17.1091335697773,23.9,26.5,411.5
"23",2020-03-04 21:40:00,0.912153195721458,2.35407173398269,14.778445028337,24,26,419
"24",2020-03-04 21:50:00,0.928246214920966,2.41339005164462,13.0977551915857,23.9,26,428
"25",2020-03-04 22:00:00,0.927667902950478,2.49732687547378,18.6102790999026,23.9,26,427.5
"26",2020-03-04 22:10:00,0.914304970846681,2.52460862699883,21.3607927917249,23.9,26,430
"27",2020-03-04 22:20:00,0.896322839889889,2.41178890090807,18.8346055911913,23.95,26,419.5
"28",2020-03-04 22:30:00,0.923196727147344,2.34898642269872,13.3968464168152,24.05,25.5,414
"29",2020-03-04 22:40:00,0.933989570275111,2.50300338909002,13.9143582373819,24,25.5,415
"30",2020-03-04 22:50:00,0.930711223294954,2.55391795361498,13.2323241615205,23.9,25,411.5
"31",2020-03-04 23:00:00,0.900551209075676,2.40569481075955,9.13928801105708,24.05,25,405.5
"32",2020-03-04 23:10:00,0.879416380385106,2.40004367107044,11.2848113362418,23.9,25,401
"33",2020-03-04 23:20:00,0.874075931467095,2.42889636869733,17.5824605353846,24.05,25,408.5
"34",2020-03-04 23:30:00,0.837979613263406,2.3521553668648,13.2272063319471,24.1,24.5,401.5
"35",2020-03-04 23:40:00,0.789658452234693,2.24512521837221,12.1309934655347,23.95,24.5,396.5
"36",2020-03-04 23:50:00,0.859383156418765,2.28775346680372,13.180681227993,23.9,25,398
"37",2020-03-05 00:00:00,0.891217926103093,2.18152534289167,7.6458660195933,24.05,24,394
"38",2020-03-05 00:10:00,0.85614881972705,2.23097137231528,9.15525039775398,24.05,24,383
"39",2020-03-05 00:20:00,0.819480367773607,2.20268991857096,9.31765476915083,24.25,23.5,378.5
"40",2020-03-05 00:30:00,0.78345045908662,2.11956378917119,6.76753077698719,24.4,23,378
"41",2020-03-05 00:40:00,0.720512771914856,1.9695303513662,9.77573131808281,24.3,23,375.5
"42",2020-03-05 00:50:00,0.689877721167986,1.88470238911421,9.61343723936722,24.15,23,368.5
"43",2020-03-05 01:00:00,0.64528103567593,1.76591302715681,5.78223321919268,24.15,23,366
"44",2020-03-05 01:10:00,0.646560893509501,1.68719382514949,6.91317722042465,24.15,23.5,361
"45",2020-03-05 01:20:00,0.662607156544683,1.77743276465001,5.74608150040059,24.25,23,357.5
"46",2020-03-05 01:30:00,0.670583925981989,1.78928045633769,6.55046715283125,24.05,23,349.5
"47",2020-03-05 01:40:00,0.67533141825814,1.74048019081711,7.17502620734043,24.25,23,348.5
"48",2020-03-05 01:50:00,0.669700287868285,1.72323629367616,3.79098571005071,24.15,23,344
"49",2020-03-05 02:00:00,0.679910140866653,1.77731659884534,6.6934355282661,24,23,342
"50",2020-03-05 02:10:00,0.709246239772662,1.76987893637287,4.11173922638785,24.05,23,340.5
"51",2020-03-05 02:20:00,0.7227659410495,1.78855986731687,3.83247355554877,23.65,23.5,338.5
"52",2020-03-05 02:30:00,0.726603633116738,1.82142947626185,4.47911316416689,24,23.5,343
"53",2020-03-05 02:40:00,0.689019685804404,1.75997484173892,3.94094396679104,24.05,24,346
"54",2020-03-05 02:50:00,0.657761499205749,1.65516913238332,3.46668447122443,24.1,24,348.5
"55",2020-03-05 03:00:00,0.635358050432904,1.59276615369003,3.27914391978224,24.05,24,352
"56",2020-03-05 03:10:00,0.630586658866668,1.56993045828875,3.13712958366774,24.1,24,351
