"","TimeStamp_1h","Spot_O","Model_O","RH_O","CO2_O","BP_O","TempC_O","PM1_O","PM25_O","PM10_O","Spot_M","Model_M","RH_M","CO2_M","BP_M","TempC_M","PM1_M","PM25_M","PM10_M","Spot_E","Model_E","RH_E","CO2_E","BP_E","TempC_E","PM1_E","PM25_E","PM10_E","Wind Speed (m/s)","Wind Direction","TOSAC","Opening","Bscat.rev","Tower_Neph","Bellevue","Weller","LFP","Lynnwood","Duwamish","Lynn_Dis","LFP_Dis","Wel_Dis","Bel_Dis","Duw_Dis","occupancy","Wind_NS","Lynn_Travel","LFP_Travel","Wel_Travel","Bel_Travel","Duw_Travel"
"14",2019-08-01 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,10,4.7,3.2,6.5,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
"15",2019-08-01 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,8,4.2,2.6,5.5,16208.12,10733.51,7081.74,14163.54,11352.23,NA,NA,NA,NA,NA,NA,NA
"16",2019-08-01 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.057776,182,NA,NA,NA,NA,2.4,8,3,2.4,5.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.187923056521,1.44890918912241,0.955959249208855,1.91192659777676,1.53242977963696
"17",2019-08-01 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78657166666667,208,NA,NA,NA,NA,2.5,6,2.9,2.4,5.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.61569702635397,1.06996370889039,0.705939137877308,1.41188425681976,1.13164045265498
"18",2019-08-01 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63223846666667,206.233333333333,NA,NA,NA,NA,2.3,3,2.6,2.4,5.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.71042844809459,1.13269773742468,0.747329706221906,1.4946657441903,1.19799070720805
"19",2019-08-01 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43503493333333,216.433333333333,NA,NA,NA,NA,2,4,2.4,2.1,4.8,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.84894906184873,1.22443030066683,0.80785288665537,1.61571261783951,1.29501108138335
"20",2019-08-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58936813333333,217.7,NA,NA,NA,NA,1.6,4,2.1,1.9,4.1,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.73874679988424,1.15145101122311,0.759702714603063,1.51941186578285,1.21782499043997
"21",2019-08-01 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7554412,207.05,NA,NA,NA,NA,1.3,4,1.7,1.5,3.8,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.19886194877863,0.793922843354745,0.523813287237729,1.04763101248042,0.839687550486005
"22",2019-08-01 23:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9612188,205.466666666667,NA,NA,NA,NA,0.8,6,2.8,2.2,4.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.13658340598493,0.752680098245407,0.496602207381223,0.993208622221693,0.796067417993225
"23",2019-08-02 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51536733333333,196.433333333333,NA,NA,NA,NA,0.8,6,1.3,1.4,4.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.28073544771961,0.848141964364337,0.559585901975915,1.11917654504005,0.897032066128951
