"","ID_10m","PM1","PM25","PM10","TempC","RH"
"1",2020-06-02 23:30:00,0.661435837082783,1.46336189661688,5.50947674883106,21.7,41.5
"2",2020-06-02 23:40:00,0.648777247567505,1.34876902117531,2.51076076812931,22,41
"3",2020-06-02 23:50:00,0.618753611850368,1.32132600029175,2.25687832989061,22.05,41
"4",2020-06-03 00:00:00,0.61692887562765,1.31821095665224,2.49807949971323,22.25,41
"5",2020-06-03 00:10:00,0.644006288222473,1.32786921912042,2.00718747118583,22.3,41
"6",2020-06-03 00:20:00,0.652375539937472,1.39365715088251,2.02530394666263,22.3,41
"7",2020-06-03 00:30:00,0.639286051306928,1.30314921724465,1.78582271213324,22.35,41.5
"8",2020-06-03 00:40:00,0.64048996533254,1.2546762957239,1.58241755768529,22.25,42
"9",2020-06-03 00:50:00,0.622068341685962,1.22657736645141,1.64370260894772,22.05,42.5
"10",2020-06-03 01:00:00,0.647777494498678,1.21164183563529,1.53938309759667,21.9,43
"11",2020-06-03 01:10:00,0.696743148191592,1.25157533741068,1.71041310415662,21.9,43
"12",2020-06-03 01:20:00,0.708517209725982,1.29109100840602,1.60095547426042,21.9,43
"13",2020-06-03 01:30:00,0.685318067141987,1.26273063615488,1.63218442236589,22.55,42
"14",2020-06-03 01:40:00,0.663337279856761,1.20204062636599,1.37484965540018,22.95,41
"15",2020-06-03 01:50:00,0.669417920298416,1.19715365376494,1.42359307112008,23.05,41
"16",2020-06-03 02:00:00,0.687327565216878,1.26022405827101,1.56412959208974,23.15,41
"17",2020-06-03 02:10:00,0.712025066165279,1.34556600780847,1.80440377455441,23.2,41
"18",2020-06-03 02:20:00,0.733208634152755,1.406103952008,1.97816142743151,23.2,40.5
"19",2020-06-03 02:30:00,0.753050206152441,1.44400982784272,1.9743547790166,23.25,40
"20",2020-06-03 02:40:00,0.78207731774739,1.52787500465119,2.05821995582506,23.2,40
"21",2020-06-03 02:50:00,0.805536581221654,1.58359195354517,2.04838865232677,23.2,40.5
"22",2020-06-03 03:00:00,0.83113213613214,1.65757403658522,2.00319209465359,23.2,40.5
"23",2020-06-03 03:10:00,0.851559189889339,1.71025877576214,2.24656265897168,23.15,41
"24",2020-06-03 03:20:00,0.864671840491444,1.77175795449381,2.36765115805997,23.2,41
"25",2020-06-03 03:30:00,0.883666030108979,1.77591360881828,2.51482118124031,23.2,41
"26",2020-06-03 03:40:00,0.896886176666909,1.84461697429812,2.6371549350411,23.2,40.5
"27",2020-06-03 03:50:00,0.917276491621798,1.83081414270811,2.37903588998897,23.15,41
"28",2020-06-03 04:00:00,0.904418317609539,1.868923111659,2.36351447061891,23.15,40.5
"29",2020-06-03 04:10:00,0.929748920922185,1.9336080911837,2.41628158607228,23.15,40.5
"30",2020-06-03 04:20:00,0.93873416412672,1.89872288221742,2.48269822171225,23.15,41
"31",2020-06-03 04:30:00,0.940973527607625,1.8816076344465,2.5013365661553,23.2,40
"32",2020-06-03 04:40:00,0.94428617261153,1.88750089428398,2.35825652510124,23.2,40
"33",2020-06-03 04:50:00,0.953095349237519,1.90147130057712,2.59866634874952,23.15,40
"34",2020-06-03 05:00:00,0.957434697573538,1.90774611003833,2.33678921660596,23.2,40
"35",2020-06-03 05:10:00,0.961037922350182,1.88102711052044,2.52459177037188,23.2,40
"36",2020-06-03 05:20:00,0.967037889975414,1.89799469118837,2.4045039142196,23.15,40
"37",2020-06-03 05:30:00,0.992231809688599,1.93028530169389,2.5023427771174,23.2,40
"38",2020-06-03 05:40:00,0.988570260474238,1.94597836373136,2.37502147029899,23.15,40
"39",2020-06-03 05:50:00,1.00254936204101,1.92060308908608,2.30197473936842,23.15,40
"40",2020-06-03 06:00:00,1.02384962975347,1.96641919771753,2.61594278960463,23.15,40
"41",2020-06-03 06:10:00,1.02824084463393,1.92887542155235,2.46517930476189,23.1,40
"42",2020-06-03 06:20:00,1.01653675208498,1.86620418604025,2.5097688458917,23.1,40.5
"43",2020-06-03 06:30:00,1.04142982041564,1.96012870116911,2.56793976880658,23.1,40.5
"44",2020-06-03 06:40:00,1.06163018686391,1.95387776557321,2.57956562931767,23.1,40.5
"45",2020-06-03 06:50:00,1.075858019021,1.99326659235767,2.44018649503229,23.15,40
"46",2020-06-03 07:00:00,1.0795250854119,1.95886958995331,2.34620017227131,23.2,40
"47",2020-06-03 07:10:00,1.08804131776092,1.93383782946583,2.53568996506764,23.2,40
"48",2020-06-03 07:20:00,1.12502460472406,1.99856272588992,2.57062020131343,23.1,41
"49",2020-06-03 07:30:00,1.12851069755451,2.03882258009885,2.73601762827125,23.1,41
"50",2020-06-03 07:40:00,1.12897266574688,2.02896208895692,2.49971771977418,23.1,41
"51",2020-06-03 07:50:00,1.14298311606331,2.04232738556495,2.70972777355904,23.05,41
"52",2020-06-03 08:00:00,1.14175240432307,2.01658083290573,2.44562393947336,23.05,41
"53",2020-06-03 08:10:00,1.15398477288199,2.07461911476064,2.68243018239812,23.1,41
"54",2020-06-03 08:20:00,1.14378674240478,2.09861423082833,2.60512345385956,23.05,41
"55",2020-06-03 08:30:00,1.14445391396979,2.06315279472325,2.61733347403978,23,41
"56",2020-06-03 08:40:00,1.13137731570102,2.05910834837201,2.69075514415213,22.9,41
"57",2020-06-03 08:50:00,1.12854654648964,2.08466434232997,2.84144871085899,22.9,41
"58",2020-06-03 09:00:00,1.12135992826216,2.03296211822329,2.80166435082363,22.95,41
"59",2020-06-03 09:10:00,1.11360552392175,2.08456185505515,2.71620865083527,23,41
