PA_Low_A,PA_Low_B,ID_10m,PM25,TempC,RH,CO2
0.26,4.098,3/12/2020 4:30:00 AM,1.796441472,24.2,23,325.5
0.528,4.118,3/12/2020 4:40:00 AM,1.843670359,24.2,24,326.5
0.252,4.12,3/12/2020 4:50:00 AM,1.878936990,24.1,24,326
0.416,3.816,3/12/2020 5:00:00 AM,1.939028857,24.05,24,325
0.334,3.4,3/12/2020 5:10:00 AM,2.011459902,24,24,324.5
0.25,3.038,3/12/2020 5:20:00 AM,2.013265493,24,24,325
0.492,2.722,3/12/2020 5:30:00 AM,2.009089906,24,24,324.5
0.446,2.924,3/12/2020 5:40:00 AM,2.099318141,24,24,324
0.178,3.278,3/12/2020 5:50:00 AM,2.099935607,24,24,324
0.432,3.354,3/12/2020 6:00:00 AM,2.143033401,24,24,323
0.498,3.396,3/12/2020 6:10:00 AM,2.144733377,24,24,323.5
0.242,2.974,3/12/2020 6:20:00 AM,2.106475928,23.9,24,324
0.482,2.888,3/12/2020 6:30:00 AM,2.176158223,23.9,24,323.5
0.31,2.966,3/12/2020 6:40:00 AM,2.167572912,23.8,25,323
0.404,2.78,3/12/2020 6:50:00 AM,2.255255416,23.8,25,323.5
0.458,2.466,3/12/2020 7:00:00 AM,2.328567937,23.8,25,323
0.418,2.128,3/12/2020 7:10:00 AM,2.315527976,23.8,25,322.5
0.472,1.992,3/12/2020 7:20:00 AM,2.369012629,23.8,25,322
0.538,1.718,3/12/2020 7:30:00 AM,2.458635450,23.9,25,322
0.32,1.87,3/12/2020 7:40:00 AM,2.421836569,23.85,25,323
0.488,1.642,3/12/2020 7:50:00 AM,2.447048261,23.85,25,322.5
0.624,1.448,3/12/2020 8:00:00 AM,2.537445470,23.9,25,323.5
0.64,1.314,3/12/2020 8:10:00 AM,2.549444515,23.85,25,323
0.416,1.114,3/12/2020 8:20:00 AM,2.577042576,23.9,25,323
0.282,0.592,3/12/2020 8:30:00 AM,2.530010095,23.8,25,322.5
0.492,0.7,3/12/2020 8:40:00 AM,2.572658760,23.8,25,322
0.576,0.924,3/12/2020 8:50:00 AM,2.649784057,23.8,25,322
0.56,0.702,3/12/2020 9:00:00 AM,2.559788382,23.8,25,321.5
0.716,0.716,3/12/2020 9:10:00 AM,2.586490805,23.85,25,321.5
0.698,0.714,3/12/2020 9:20:00 AM,2.622834302,23.9,25,321
0.47,0.578,3/12/2020 9:30:00 AM,2.589968355,23.85,25,321
0.574,0.422,3/12/2020 9:40:00 AM,2.652031989,23.9,25,322.5
0.576,0.578,3/12/2020 9:50:00 AM,2.626927564,23.9,25,322
0.52,0.556,3/12/2020 10:00:00 AM,2.607423074,23.8,25,322
0.444,0.458,3/12/2020 10:10:00 AM,2.592254754,23.8,25,322
0.354,0.592,3/12/2020 10:20:00 AM,2.648398915,23.7,25,322
0.978,0.484,3/12/2020 10:30:00 AM,2.601844726,23.8,25,322.5
0.606,0.346,3/12/2020 10:40:00 AM,2.655333345,23.8,25,322.5
0.406,0.55,3/12/2020 10:50:00 AM,2.619883223,23.8,25,320.5
0.596,0.45,3/12/2020 11:00:00 AM,2.631812045,23.8,25,321.5
0.518,0.38,3/12/2020 11:10:00 AM,2.687270933,23.8,25,321
0.358,0.306,3/12/2020 11:20:00 AM,2.677945201,23.8,25,321
0.488,0.588,3/12/2020 11:30:00 AM,2.644079526,23.8,25,321.5
0.566,0.448,3/12/2020 11:40:00 AM,2.720304786,23.8,25,321
0.45,0.496,3/12/2020 11:50:00 AM,2.699127116,23.8,25.5,321
0.508,0.644,3/12/2020 12:00:00 PM,2.407732683,24.25,25,321
0.38,0.698,3/12/2020 12:10:00 PM,2.062204298,23.85,26,324.5
0.194,0.802,3/12/2020 12:20:00 PM,2.028765759,23.9,26,326.5
0.36,0.502,3/12/2020 12:30:00 PM,1.942095695,23.95,26,328.5
0.264,0.494,3/12/2020 12:40:00 PM,2.041937954,23.95,26,337
0.34,0.386,3/12/2020 12:50:00 PM,1.980619393,24.05,26,338
0.48,0.508,3/12/2020 1:00:00 PM,2.076992441,24.1,26,339
0.606,0.526,3/12/2020 1:10:00 PM,2.091765304,24.3,26,342
0.548,0.512,3/12/2020 1:20:00 PM,2.082628123,24.2,26,344.5
0.508,0.612,3/12/2020 1:30:00 PM,1.960583983,23.9,26.5,345
0.572,0.532,3/12/2020 1:40:00 PM,1.895519767,23.85,27,345.5
0.638,0.602,3/12/2020 1:50:00 PM,1.845968937,23.9,27,347.5
0.578,0.836,3/12/2020 2:00:00 PM,2.034730717,24.05,27,349
0.788,0.772,3/12/2020 2:10:00 PM,1.991523927,24,27,349.5
0.684,0.792,3/12/2020 2:20:00 PM,1.922566085,24.05,27,349.5
0.704,1.002,3/12/2020 2:30:00 PM,1.892931296,23.95,27.5,348.5
0.71,1.052,3/12/2020 2:40:00 PM,2.052628488,24.1,27,350
0.642,0.95,3/12/2020 2:50:00 PM,2.014860745,24.1,27,352
0.81,1.1,3/12/2020 3:00:00 PM,1.974076327,23.95,28,356
0.582,0.792,3/12/2020 3:10:00 PM,2.136426340,24.25,27.5,355
0.532,0.87,3/12/2020 3:20:00 PM,1.708163901,24.2,27,348.5
0.568,0.608,3/12/2020 3:30:00 PM,1.605437964,24.1,28,347.5
0.462,0.586,3/12/2020 3:40:00 PM,1.703378857,24.1,28,348
0.594,0.746,3/12/2020 3:50:00 PM,1.765812955,24.15,28,352.5
0.506,0.692,3/12/2020 4:00:00 PM,1.656054550,24.2,28,353.5
0.382,0.614,3/12/2020 4:10:00 PM,1.682543328,24.2,28,354
0.59,0.514,3/12/2020 4:20:00 PM,1.547552409,24,28,349.5
0.484,0.638,3/12/2020 4:30:00 PM,1.579020172,24.2,28,348.5
0.566,0.642,3/12/2020 4:40:00 PM,1.538216583,24,29,351
0.642,0.608,3/12/2020 4:50:00 PM,1.596233280,24,29,351.5
0.648,0.604,3/12/2020 5:00:00 PM,1.592708694,24.05,29,354.5
0.532,0.662,3/12/2020 5:10:00 PM,1.524127393,24.1,29,354.5
0.446,0.544,3/12/2020 5:20:00 PM,1.404939090,24.1,29,352
0.416,0.444,3/12/2020 5:30:00 PM,1.427835805,24,29,351
0.44,0.54,3/12/2020 5:40:00 PM,1.365264565,24.3,28,352.5
0.254,0.582,3/12/2020 5:50:00 PM,1.374529761,24.2,28.5,350.5
0.144,0.33,3/12/2020 6:00:00 PM,1.318308995,24.35,28,349.5
0.19,0.282,3/12/2020 6:10:00 PM,1.288128208,24.4,28,345
0.154,0.33,3/12/2020 6:20:00 PM,1.334076144,24.1,28.5,344.5
0.408,0.336,3/12/2020 6:30:00 PM,1.363810675,24.3,28,347
0.32,0.668,3/12/2020 6:40:00 PM,1.368704487,24.2,28.5,343
0.79,0.73,3/12/2020 6:50:00 PM,1.464861272,24.25,28,345.5
0.67,0.732,3/12/2020 7:00:00 PM,1.482345840,24.15,29,345.5
0.742,0.744,3/12/2020 7:10:00 PM,1.361163829,24.1,29,341.5
0.488,0.6,3/12/2020 7:20:00 PM,1.317519530,24.15,28.5,340
0.536,0.478,3/12/2020 7:30:00 PM,1.265473105,24.1,28.5,339.5
0.352,0.696,3/12/2020 7:40:00 PM,1.289202939,24.15,28,342
0.538,0.562,3/12/2020 7:50:00 PM,1.205194138,24.3,28,341.5
0.306,0.342,3/12/2020 8:00:00 PM,1.158252601,24.1,28,341
0.204,0.376,3/12/2020 8:10:00 PM,1.123616377,24.3,28,341
0.19,0.29,3/12/2020 8:20:00 PM,1.090429925,24.15,28,336
0.194,0.2,3/12/2020 8:30:00 PM,1.076440755,24.3,27.5,334.5
0.364,0.152,3/12/2020 8:40:00 PM,1.136308731,24.3,27,332.5
0.424,0.324,3/12/2020 8:50:00 PM,1.162241139,24.3,27,334
0.522,0.458,3/12/2020 9:00:00 PM,1.253568081,24.2,27,335.5
0.58,0.408,3/12/2020 9:10:00 PM,1.271366594,24.4,27,334
0.35,0.532,3/12/2020 9:20:00 PM,1.286609078,24.15,27,330.5
0.384,0.384,3/12/2020 9:30:00 PM,1.323279182,24.25,27,327.5
0.596,0.524,3/12/2020 9:40:00 PM,1.295030171,24.15,27,327
0.626,0.45,3/12/2020 9:50:00 PM,1.321252980,24.15,26.5,330
0.506,0.662,3/12/2020 10:00:00 PM,1.281855077,24.1,26,330.5
0.624,0.642,3/12/2020 10:10:00 PM,1.241648030,24.3,26,330.5
0.336,0.514,3/12/2020 10:20:00 PM,1.247977147,24.45,26,327.5
0.262,0.458,3/12/2020 10:30:00 PM,1.209243135,24.45,26,325
0.498,0.464,3/12/2020 10:40:00 PM,1.237104063,24.55,25.5,325.5
0.378,0.494,3/12/2020 10:50:00 PM,1.237508037,24.55,25,324
0.464,0.456,3/12/2020 11:00:00 PM,1.244013933,24.45,25,323.5
0.372,0.57,3/12/2020 11:10:00 PM,1.299570858,24.45,25,328
0.464,0.464,3/12/2020 11:20:00 PM,1.328587367,24.45,25,329.5
0.486,0.464,3/12/2020 11:30:00 PM,1.270439937,24.5,24,328.5
0.468,0.57,3/12/2020 11:40:00 PM,1.319033779,24.45,24,326.5
0.552,0.228,3/12/2020 11:50:00 PM,1.219709244,24.5,24,322.5
0.422,0.694,3/13/2020 12:00:00 AM,1.287927785,24.5,24,320.5
0.684,0.328,3/13/2020 12:10:00 AM,1.314911202,24.4,24,319
0.51,0.686,3/13/2020 12:20:00 AM,1.285823529,24.45,24,318
0.51,0.602,3/13/2020 12:30:00 AM,1.280183144,24.45,24,317.5
0.698,0.684,3/13/2020 12:40:00 AM,1.357794054,24.5,24,318.5
0.702,0.816,3/13/2020 12:50:00 AM,1.336358806,24.5,24,317
0.572,0.792,3/13/2020 1:00:00 AM,1.319576725,24.55,24,316
0.544,0.722,3/13/2020 1:10:00 AM,1.345147135,24.5,24.5,317.5
0.756,1.164,3/13/2020 1:20:00 AM,1.380895108,24.3,25,317
0.712,0.798,3/13/2020 1:30:00 AM,1.326513875,24.35,25,320
0.596,1.082,3/13/2020 1:40:00 AM,1.271756457,24.25,25,320.5
0.452,0.528,3/13/2020 1:50:00 AM,1.146410427,24.35,25,323.5
0.56,0.486,3/13/2020 2:00:00 AM,1.127285783,24.35,25,324
0.406,0.62,3/13/2020 2:10:00 AM,1.123346417,24.35,25,324
0.412,0.632,3/13/2020 2:20:00 AM,1.187138834,24.4,25,323.5
0.4,0.748,3/13/2020 2:30:00 AM,1.256715770,24.35,25,323
0.53,0.86,3/13/2020 2:40:00 AM,1.262924348,24.4,25,323
0.584,0.926,3/13/2020 2:50:00 AM,1.306681761,24.35,25,323
0.788,0.968,3/13/2020 3:00:00 AM,1.376907461,24.35,25,324
0.558,1.014,3/13/2020 3:10:00 AM,1.445977985,24.3,25,322.5
0.668,1.006,3/13/2020 3:20:00 AM,1.452942645,24.35,25,322.5
0.664,1.084,3/13/2020 3:30:00 AM,1.502651389,24.35,25,322.5
0.67,1.244,3/13/2020 3:40:00 AM,1.561730739,24.3,25,322
0.746,1.412,3/13/2020 3:50:00 AM,1.641994827,24.3,25,321.5
0.806,1.238,3/13/2020 4:00:00 AM,1.646667570,24.3,25,321.5
1.072,1.328,3/13/2020 4:10:00 AM,1.652836740,24.3,25,321.5
1.142,1.474,3/13/2020 4:20:00 AM,1.726936972,24.3,25,320.5
1.162,1.49,3/13/2020 4:30:00 AM,1.766440973,24.3,25,320
0.954,1.48,3/13/2020 4:40:00 AM,1.870663514,24.3,25,320.5
1.022,1.49,3/13/2020 4:50:00 AM,1.878954966,24.25,25,320
1.11,1.466,3/13/2020 5:00:00 AM,1.863460954,24.2,25,320
1.124,1.536,3/13/2020 5:10:00 AM,1.836430018,24.25,25,319.5
1.268,1.766,3/13/2020 5:20:00 AM,1.845655017,24.25,25,320
1.264,1.6,3/13/2020 5:30:00 AM,1.841387417,24.25,25,319.5
1.378,1.68,3/13/2020 5:40:00 AM,1.895399737,24.2,25.5,319.5
1.186,1.644,3/13/2020 5:50:00 AM,1.847775469,24.2,25.5,319
1.182,1.664,3/13/2020 6:00:00 AM,1.921381316,24.2,25.5,319
1.074,1.49,3/13/2020 6:10:00 AM,1.913646031,24.2,25,319
1.374,1.332,3/13/2020 6:20:00 AM,1.923451910,24.2,25,319
1.504,1.68,3/13/2020 6:30:00 AM,1.918440305,24.2,25,319.5
1.592,1.65,3/13/2020 6:40:00 AM,1.911887399,24.2,25,319
1.52,1.796,3/13/2020 6:50:00 AM,1.984802837,24.1,25,319
1.664,1.608,3/13/2020 7:00:00 AM,1.991250764,24.1,25,319.5
1.6,1.784,3/13/2020 7:10:00 AM,1.956902195,24.15,25,319.5
1.526,1.83,3/13/2020 7:20:00 AM,1.969343378,24.1,25,318.5
1.488,1.772,3/13/2020 7:30:00 AM,2.028211194,24.1,25,319
1.728,1.732,3/13/2020 7:40:00 AM,2.020999532,24.2,25,318.5
1.622,1.83,3/13/2020 7:50:00 AM,2.074490847,24.1,25,319
1.766,1.978,3/13/2020 8:00:00 AM,2.079082790,24.15,25,318
2.006,2.126,3/13/2020 8:10:00 AM,2.062758965,24.05,25,318
1.966,1.88,3/13/2020 8:20:00 AM,2.095858719,24.15,25,318
1.782,2.054,3/13/2020 8:30:00 AM,2.081307229,24.15,25,316.5
2.072,2.264,3/13/2020 8:40:00 AM,2.135073793,24.15,25,316.5
2.122,2.202,3/13/2020 8:50:00 AM,2.109880966,24.05,25,317
1.846,2.024,3/13/2020 9:00:00 AM,2.063387465,24.05,25,317
1.832,2.112,3/13/2020 9:10:00 AM,2.108288282,24.1,25,318
1.806,1.974,3/13/2020 9:20:00 AM,2.155184893,24,25,317.5
2.188,1.81,3/13/2020 9:30:00 AM,2.108189532,24.05,25,317.5
1.972,1.878,3/13/2020 9:40:00 AM,2.168453779,24.1,25,318
1.814,1.906,3/13/2020 9:50:00 AM,2.124285348,24.1,25,317.5
2.02,1.882,3/13/2020 10:00:00 AM,2.115928402,24.1,25,316.5
2.166,1.978,3/13/2020 10:10:00 AM,2.117259211,24,25,316.5
2.098,2.138,3/13/2020 10:20:00 AM,2.217797372,24.05,25,316.5
1.83,2.004,3/13/2020 10:30:00 AM,2.141945296,24,25,315.5
1.718,2.046,3/13/2020 10:40:00 AM,2.169715356,23.95,25,316.5
1.67,2.096,3/13/2020 10:50:00 AM,2.245165542,23.9,25,315
1.976,2.074,3/13/2020 11:00:00 AM,2.213089008,23.95,25,313.5
1.736,1.938,3/13/2020 11:10:00 AM,2.176332103,24,25,314.5
1.744,1.822,3/13/2020 11:20:00 AM,2.206447523,23.95,25,315
1.964,2.018,3/13/2020 11:30:00 AM,2.187302183,24,25,315
1.834,1.846,3/13/2020 11:40:00 AM,2.238466546,23.95,25,313.5
1.948,1.638,3/13/2020 11:50:00 AM,2.121565355,23.9,25,312.5
1.784,1.796,3/13/2020 12:00:00 PM,1.934084755,24.2,25,313.5
1.954,2.164,3/13/2020 12:10:00 PM,1.951754517,23.6,25.5,314
2.012,2.254,3/13/2020 12:20:00 PM,1.986262346,23.75,25,313.5
2.336,2.15,3/13/2020 12:30:00 PM,2.044608675,23.8,25,316
2.296,2.432,3/13/2020 12:40:00 PM,2.026729031,23.9,25,315
2.374,2.472,3/13/2020 12:50:00 PM,2.148423555,24,25,318.5
2.562,2.574,3/13/2020 1:00:00 PM,2.221468938,24,25,320.5
2.626,2.72,3/13/2020 1:10:00 PM,2.344972893,24.05,25,321
2.534,2.6,3/13/2020 1:20:00 PM,2.141252802,23.95,25,321.5
2.022,1.982,3/13/2020 1:30:00 PM,1.940410566,24.05,25,320
1.902,2.066,3/13/2020 1:40:00 PM,1.871274471,23.95,25,320.5
1.62,1.592,3/13/2020 1:50:00 PM,1.754880988,24,25,320
1.39,1.35,3/13/2020 2:00:00 PM,1.733260393,24.1,25,322
1.388,1.08,3/13/2020 2:10:00 PM,1.618015194,24,25,321.5
1.108,1,3/13/2020 2:20:00 PM,1.560535902,24.15,25,321.5
0.956,0.938,3/13/2020 2:30:00 PM,1.434822788,24,25.5,319.5
0.754,0.744,3/13/2020 2:40:00 PM,1.324034019,24.1,25,319.5
0.628,0.522,3/13/2020 2:50:00 PM,1.340926749,24.1,25,318.5
0.54,0.428,3/13/2020 3:00:00 PM,1.295676316,23.95,26,316
0.908,0.874,3/13/2020 3:10:00 PM,1.331786338,23.95,26,315.5
1.296,1.09,3/13/2020 3:20:00 PM,1.492374592,24.15,26,320
1.18,1.342,3/13/2020 3:30:00 PM,1.394455082,23.95,26,321.5
1.058,1.12,3/13/2020 3:40:00 PM,1.423326823,24,26,323.5
0.996,1.316,3/13/2020 3:50:00 PM,1.514248214,24.05,26,326
1.4,1.01,3/13/2020 4:00:00 PM,1.465965979,24.2,26,324.5
1.078,1.108,3/13/2020 4:10:00 PM,1.467629598,24,26,325
0.892,0.992,3/13/2020 4:20:00 PM,1.390532395,23.95,26,320.5
1.236,0.946,3/13/2020 4:30:00 PM,1.455582423,24.1,26,320
1.172,1.234,3/13/2020 4:40:00 PM,1.408942959,24.05,26,321.5
0.942,1.114,3/13/2020 4:50:00 PM,1.347503325,23.9,26,319
0.954,1.108,3/13/2020 5:00:00 PM,1.278545356,23.9,26,320
0.982,1.006,3/13/2020 5:10:00 PM,1.274762276,23.95,26,321.5
0.988,0.94,3/13/2020 5:20:00 PM,1.223064247,24.1,26,322
1.104,0.814,3/13/2020 5:30:00 PM,1.181535290,23.9,27,321.5
0.912,0.976,3/13/2020 5:40:00 PM,1.126127176,24,26.5,325.5
0.684,1.1,3/13/2020 5:50:00 PM,1.085188302,24.15,26,326
0.768,0.904,3/13/2020 6:00:00 PM,1.128230593,24,27,329
0.844,0.658,3/13/2020 6:10:00 PM,1.023101760,24,26.5,327
0.774,0.944,3/13/2020 6:20:00 PM,0.952505418,23.85,27,323.5
0.844,0.732,3/13/2020 6:30:00 PM,0.925036083,23.9,27,323
1.154,0.92,3/13/2020 6:40:00 PM,0.990040372,23.85,27,322.5
0.906,1.082,3/13/2020 6:50:00 PM,0.992582265,23.8,27,321.5
0.984,0.964,3/13/2020 7:00:00 PM,1.024671994,23.85,27,320
0.822,0.892,3/13/2020 7:10:00 PM,1.051778391,23.9,27,323
0.782,0.854,3/13/2020 7:20:00 PM,0.996649797,23.9,27,321
0.882,0.738,3/13/2020 7:30:00 PM,0.967343801,23.85,27,320
0.54,0.596,3/13/2020 7:40:00 PM,0.920215570,24.05,27,320
0.668,0.59,3/13/2020 7:50:00 PM,0.893830830,24.05,27,320
0.532,0.508,3/13/2020 8:00:00 PM,0.884588695,23.85,27,317.5
0.498,0.364,3/13/2020 8:10:00 PM,0.869410993,23.85,27,319.5
0.308,0.528,3/13/2020 8:20:00 PM,0.859128654,23.9,27,319
0.372,0.476,3/13/2020 8:30:00 PM,0.845590698,23.95,27,320.5
0.366,0.424,3/13/2020 8:40:00 PM,0.801551934,23.85,27,321.5
0.434,0.326,3/13/2020 8:50:00 PM,0.795269777,24,27,321
0.318,0.234,3/13/2020 9:00:00 PM,0.823055142,24,27,323.5
0.47,0.368,3/13/2020 9:10:00 PM,0.763206438,24,27,320.5
0.282,0.344,3/13/2020 9:20:00 PM,0.779751510,23.8,27,317.5
0.104,0.33,3/13/2020 9:30:00 PM,0.711719918,23.85,27,316
0.122,0.236,3/13/2020 9:40:00 PM,0.695732996,23.85,27,316
0.152,0.26,3/13/2020 9:50:00 PM,0.739628619,24.1,27,318
0.058,0.156,3/13/2020 10:00:00 PM,0.660890298,23.9,27,315
0.236,0.162,3/13/2020 10:10:00 PM,0.694394484,23.9,27,315.5
0.13,0.266,3/13/2020 10:20:00 PM,0.694135431,24,27,314
0.07,0.164,3/13/2020 10:30:00 PM,0.702220026,24.05,27,314.5
0.056,0.16,3/13/2020 10:40:00 PM,0.710775489,23.95,27,315
0.066,0.086,3/13/2020 10:50:00 PM,0.705764189,24.15,27,314.5
0,0.018,3/13/2020 11:00:00 PM,0.696902256,24.1,27,315.5
0.074,0.06,3/13/2020 11:10:00 PM,0.664561966,24,27,313.5
0.034,0.054,3/13/2020 11:20:00 PM,0.695739302,23.85,27,311.5
0.108,0.15,3/13/2020 11:30:00 PM,0.684171588,23.85,27,310.5
0.246,0.066,3/13/2020 11:40:00 PM,0.729749746,23.95,27,312
0.1,0.09,3/13/2020 11:50:00 PM,0.682242890,23.95,27,311
0.11,0.27,3/14/2020 12:00:00 AM,0.699037531,23.9,27,310.5
0.112,0.13,3/14/2020 12:10:00 AM,0.707215741,23.95,27,309.5
0.174,0.226,3/14/2020 12:20:00 AM,0.707725838,24.05,27,312
0.072,0.202,3/14/2020 12:30:00 AM,0.674700757,23.95,27,309.5
0.168,0.256,3/14/2020 12:40:00 AM,0.727639337,24,27,310
0.106,0.192,3/14/2020 12:50:00 AM,0.701072454,24.15,27,311
0.272,0.228,3/14/2020 1:00:00 AM,0.776388092,24.2,27,313.5
0.184,0.316,3/14/2020 1:10:00 AM,0.751751280,24.1,27,310
0.228,0.302,3/14/2020 1:20:00 AM,0.741252220,24.05,27,310.5
0.162,0.14,3/14/2020 1:30:00 AM,0.756772927,24.1,27,314
0.082,0.252,3/14/2020 1:40:00 AM,0.715894132,24.35,26,315.5
0.046,0.058,3/14/2020 1:50:00 AM,0.659126454,24.3,26,315.5
0.042,0.136,3/14/2020 2:00:00 AM,0.625040803,24.3,26,316.5
0.008,0.04,3/14/2020 2:10:00 AM,0.654850362,24.3,26,315.5
0.018,0.014,3/14/2020 2:20:00 AM,0.694252181,24.25,26,316
0.032,0.026,3/14/2020 2:30:00 AM,0.724103869,24.25,26,314.5
0.036,0.122,3/14/2020 2:40:00 AM,0.747641746,24.25,26,313
0.228,0.09,3/14/2020 2:50:00 AM,0.754997541,24.15,26,313
0.302,0.164,3/14/2020 3:00:00 AM,0.817905633,24.1,26,311.5
0.68,0.084,3/14/2020 3:10:00 AM,0.822646286,24.1,26,311
0.92,0.204,3/14/2020 3:20:00 AM,0.855017163,24.05,26.5,311
0.838,0.086,3/14/2020 3:30:00 AM,0.886957623,23.95,27,311.5
1.112,0.08,3/14/2020 3:40:00 AM,0.941729915,24,27,310
0.97,0.144,3/14/2020 3:50:00 AM,0.927779365,23.85,27,309.5
1.06,0.276,3/14/2020 4:00:00 AM,0.935772381,23.75,27,309
0.79,0.208,3/14/2020 4:10:00 AM,0.974938461,23.7,27,309
0.886,0.222,3/14/2020 4:20:00 AM,1.031668740,23.7,27,309
0.728,0.152,3/14/2020 4:30:00 AM,1.056572665,23.7,27,308.5
0.67,0.29,3/14/2020 4:40:00 AM,1.051426309,23.6,27,306.5
0.78,0.266,3/14/2020 4:50:00 AM,1.089209663,23.6,27,305.5
0.664,0.44,3/14/2020 5:00:00 AM,1.118636477,23.6,27,305
0.63,0.27,3/14/2020 5:10:00 AM,1.152308644,23.6,27,305
0.502,0.286,3/14/2020 5:20:00 AM,1.153575002,23.6,26.5,305.5
0.452,0.504,3/14/2020 5:30:00 AM,1.171836170,23.6,26,306
0.388,0.384,3/14/2020 5:40:00 AM,1.119103861,23.55,26.5,304.5
0.424,0.286,3/14/2020 5:50:00 AM,1.138956772,23.65,26,305
0.474,0.61,3/14/2020 6:00:00 AM,1.167222234,23.6,26,304.5
0.348,0.45,3/14/2020 6:10:00 AM,1.162724336,23.6,26,305
0.418,0.436,3/14/2020 6:20:00 AM,1.208958072,23.55,26,304.5
0.276,0.294,3/14/2020 6:30:00 AM,1.189124967,23.6,26,304
0.516,0.55,3/14/2020 6:40:00 AM,1.251446281,23.5,26,303.5
0.232,0.48,3/14/2020 6:50:00 AM,1.254667321,23.5,26,302
0.366,0.274,3/14/2020 7:00:00 AM,1.297482416,23.5,26,302.5
0.374,0.402,3/14/2020 7:10:00 AM,1.227795493,23.45,26,302.5
0.648,0.254,3/14/2020 7:20:00 AM,1.274048552,23.45,26,303
0.344,0.396,3/14/2020 7:30:00 AM,1.285258285,23.5,26,302
0.3,0.398,3/14/2020 7:40:00 AM,1.290592149,23.45,26,303
0.22,0.242,3/14/2020 7:50:00 AM,1.279006409,23.45,26,302.5
0.4,0.482,3/14/2020 8:00:00 AM,1.333196498,23.45,26,302.5
0.342,0.132,3/14/2020 8:10:00 AM,1.360778287,23.45,26,301
0.484,0.386,3/14/2020 8:20:00 AM,1.304368386,23.4,26,302
0.31,0.47,3/14/2020 8:30:00 AM,1.386104924,23.4,26,302
0.408,0.376,3/14/2020 8:40:00 AM,1.431151323,23.4,25.5,303
0.434,0.324,3/14/2020 8:50:00 AM,1.506372915,23.4,25,302.5
0.332,0.27,3/14/2020 9:00:00 AM,1.504338018,23.35,25,302
0.492,0.374,3/14/2020 9:10:00 AM,1.627690720,23.35,25,302
0.322,0.53,3/14/2020 9:20:00 AM,1.592807469,23.35,25,302
0.342,0.506,3/14/2020 9:30:00 AM,1.706715731,23.3,25,302.5
0.37,0.374,3/14/2020 9:40:00 AM,1.763215052,23.3,25,302
0.418,0.652,3/14/2020 9:50:00 AM,1.876567249,23.25,25,302
0.554,0.586,3/14/2020 10:00:00 AM,1.891356714,23.3,24.5,302
0.442,0.526,3/14/2020 10:10:00 AM,1.934444032,23.3,24,303.5
0.698,0.604,3/14/2020 10:20:00 AM,1.932004347,23.3,24,303.5
0.394,0.444,3/14/2020 10:30:00 AM,1.967458919,23.25,24,303
0.368,0.662,3/14/2020 10:40:00 AM,1.976823982,23.3,24,302.5
0.442,0.508,3/14/2020 10:50:00 AM,1.960793407,23.3,24,302.5
0.38,0.712,3/14/2020 11:00:00 AM,2.058555741,23.2,24,302
0.302,0.374,3/14/2020 11:10:00 AM,2.090275819,23.2,24,302.5
0.642,0.486,3/14/2020 11:20:00 AM,2.135427248,23.25,24,302.5
0.48,0.546,3/14/2020 11:30:00 AM,2.095776953,23.25,24,302
0.492,0.632,3/14/2020 11:40:00 AM,2.144074418,23.2,24,302
0.572,0.612,3/14/2020 11:50:00 AM,2.190440439,23.2,24,303
0.586,0.578,3/14/2020 12:00:00 PM,2.165298945,23.2,24,303
0.67,0.66,3/14/2020 12:10:00 PM,2.176873982,23.2,23.5,303.5
0.868,0.74,3/14/2020 12:20:00 PM,2.270407743,23.15,23,304.5
0.588,0.552,3/14/2020 12:30:00 PM,2.287053955,23.2,23,304.5
0.594,0.664,3/14/2020 12:40:00 PM,2.239750039,23.2,23,303
0.774,0.788,3/14/2020 12:50:00 PM,2.315605877,23.15,23,302.5
0.486,0.664,3/14/2020 1:00:00 PM,2.268720148,23.15,23,302.5
0.816,0.624,3/14/2020 1:10:00 PM,2.210443458,23.2,23,302.5
0.536,0.558,3/14/2020 1:20:00 PM,2.177787189,23.1,23,303
0.568,0.71,3/14/2020 1:30:00 PM,2.094410219,23.2,23,304
0.59,0.896,3/14/2020 1:40:00 PM,2.099324574,23.1,23,303.5
0.514,0.858,3/14/2020 1:50:00 PM,2.118548298,23.1,23,305.5
0.508,0.824,3/14/2020 2:00:00 PM,2.076408256,23.05,23,304.5
0.588,0.712,3/14/2020 2:10:00 PM,2.073998521,23.05,23,303.5
0.49,0.732,3/14/2020 2:20:00 PM,2.144690181,23,22.5,304.5
0.68,0.704,3/14/2020 2:30:00 PM,2.067970637,23.1,22,305
0.672,0.692,3/14/2020 2:40:00 PM,2.022663940,23,22,305
0.73,0.77,3/14/2020 2:50:00 PM,2.075881455,23,22,306
0.534,0.742,3/14/2020 3:00:00 PM,1.926908993,22.95,22,305.5
0.7,0.812,3/14/2020 3:10:00 PM,2.014280272,23,22,305
0.766,0.574,3/14/2020 3:20:00 PM,1.863834851,23,22,305.5
0.632,0.766,3/14/2020 3:30:00 PM,1.897025982,23,22,306.5
0.7,0.614,3/14/2020 3:40:00 PM,1.856117770,23.05,22,307.5
0.394,0.88,3/14/2020 3:50:00 PM,1.835253665,23.15,22,308
0.77,0.756,3/14/2020 4:00:00 PM,1.844414873,23.35,21.5,307
