"","ID_10m","PM1","PM25","PM10","TempC","RH"
"1",2020-04-27 21:10:00,0.427896144041795,0.945309418174014,4.00820048450404,24.1,34
"2",2020-04-27 21:20:00,0.412090170571067,0.87595568690656,2.73514248203296,24.2,34
"3",2020-04-27 21:30:00,0.415837706380178,0.887445067216403,3.99800758983172,24.4,33.5
"4",2020-04-27 21:40:00,0.402032535710714,0.847188594502773,1.98534461331413,24.6,32.5
"5",2020-04-27 21:50:00,0.423737972664436,0.895345333500661,2.27781756577414,25.05,32
"6",2020-04-27 22:00:00,0.436102829734667,0.939967875990607,1.65503972026999,25.45,32
"7",2020-04-27 22:10:00,0.436256522509731,0.896896270303253,1.36169296908485,25.55,31.5
"8",2020-04-27 22:20:00,0.435125958964857,0.939636158929191,1.17799344035565,25.4,31.5
"9",2020-04-27 22:30:00,0.441812446410151,0.937290494456964,1.14585311570512,25.2,31
"10",2020-04-27 22:40:00,0.460883190030286,0.962812775161043,1.08199141587427,25.2,31.5
"11",2020-04-27 22:50:00,0.456272991548236,0.973686265680456,1.22396141117824,25.05,32
"12",2020-04-27 23:00:00,0.42652587570233,0.927810307124693,1.14829079244417,24.95,31
"13",2020-04-27 23:10:00,0.427466134793713,0.939718179258778,1.21382905289921,24.9,32
"14",2020-04-27 23:20:00,0.430012426178765,0.962264235604053,1.24829297331581,24.9,32
"15",2020-04-27 23:30:00,0.413318543231849,0.917183589487789,1.0244443661297,24.9,32
"16",2020-04-27 23:40:00,0.420587766558774,0.934775272149022,1.16121468950416,24.85,32.5
"17",2020-04-27 23:50:00,0.420478389169473,0.939827124426876,1.23777372620995,24.85,32
"18",2020-04-28 00:00:00,0.434270059282517,0.964586407582622,1.08376504829585,24.75,32.5
"19",2020-04-28 00:10:00,0.446940395044624,1.02435296405751,1.22099772123434,24.75,33
"20",2020-04-28 00:20:00,0.468315386175765,1.00830904010178,1.18111806913597,24.75,33
"21",2020-04-28 00:30:00,0.492094950986713,1.09144274608501,1.26425177511919,24.65,33
"22",2020-04-28 00:40:00,0.516492007349021,1.10874311165498,1.26963427661784,24.65,33
"23",2020-04-28 00:50:00,0.518844968732156,1.15303106408374,1.34967582126057,24.55,33
"24",2020-04-28 01:00:00,0.526034053162969,1.18538114314193,1.38798483235442,24.6,33
"25",2020-04-28 01:10:00,0.526543413139086,1.15234251028155,1.26556221895911,24.5,33
"26",2020-04-28 01:20:00,0.522915322930843,1.23516501699814,1.41393297806798,24.15,33.5
"27",2020-04-28 01:30:00,0.517821062125478,1.23265137102635,1.41737826413186,24.2,33.5
"28",2020-04-28 01:40:00,0.515396657119857,1.21732389185284,1.44972224124364,24.6,33
"29",2020-04-28 01:50:00,0.502720778756433,1.16529363727737,1.39769198666817,24.7,33
"30",2020-04-28 02:00:00,0.511359609378628,1.22231899602913,1.53218346188353,24.8,33
"31",2020-04-28 02:10:00,0.509497295335969,1.23142429502918,1.46978157645564,24.9,33
"32",2020-04-28 02:20:00,0.516608249428027,1.26240593633182,1.61994185847152,24.9,33
"33",2020-04-28 02:30:00,0.530188054876951,1.29727581415776,1.68460639647576,24.95,33
"34",2020-04-28 02:40:00,0.535230983058187,1.36812442059521,1.72566034273491,24.9,33
"35",2020-04-28 02:50:00,0.545677184780624,1.38631246681838,1.72597159285109,24.9,33
"36",2020-04-28 03:00:00,0.549589981638191,1.37925765063325,1.78446502905823,24.9,33
"37",2020-04-28 03:10:00,0.565146639748741,1.43803960720621,1.9981792185584,24.85,33
"38",2020-04-28 03:20:00,0.608367768547782,1.67158107998157,3.30432845775283,24.5,33
"39",2020-04-28 03:30:00,0.598594204717336,1.49406755196861,2.19722153217667,24.5,33
"40",2020-04-28 03:40:00,0.605584263996255,1.57008905804572,2.26728410621812,24.65,33
"41",2020-04-28 03:50:00,0.623351301342288,1.66914546264943,2.34846371471484,24.7,33
"42",2020-04-28 04:00:00,0.651093343024446,1.69172627466443,2.25782481805228,24.6,33
"43",2020-04-28 04:10:00,0.684910507971719,1.81005857541136,2.60855546819,24.6,33
"44",2020-04-28 04:20:00,0.70863688414984,1.89701001501212,2.51673894672092,24.55,33
"45",2020-04-28 04:30:00,0.743813562756039,2.0025084478333,2.68778563193437,24.45,33.5
"46",2020-04-28 04:40:00,0.807363275152176,2.27573311545758,3.88464476508619,24.45,34
"47",2020-04-28 04:50:00,0.801742594345539,2.11850131317828,3.17919121552603,24.5,34
"48",2020-04-28 05:00:00,0.854436638990719,2.30538732916947,3.38991295965987,24.4,34
"49",2020-04-28 05:10:00,0.889535466930707,2.4495171338281,3.43869985174791,24.45,34
"50",2020-04-28 05:20:00,0.909042982789522,2.43031542718326,3.43737494121005,24.4,34
"51",2020-04-28 05:30:00,0.942149982874416,2.57438886511197,3.68870915578067,24.4,34
"52",2020-04-28 05:40:00,0.972986880923391,2.65877352095767,3.68370983109145,24.35,34
"53",2020-04-28 05:50:00,1.01740811003154,2.81287088049285,3.85568398673361,24.35,34
"54",2020-04-28 06:00:00,1.02510375771303,2.81863106704916,3.95082815382485,24.3,34
"55",2020-04-28 06:10:00,1.07259167253543,2.99256910871684,4.01154648681496,24.3,34
"56",2020-04-28 06:20:00,1.07627028177495,2.96269972511985,3.95188244303967,24.3,34
"57",2020-04-28 06:30:00,1.07029098449316,2.93349489433587,3.95247227243399,24.3,34
"58",2020-04-28 06:40:00,1.07577638006306,2.95446397890723,4.01515388125498,24.3,34
"59",2020-04-28 06:50:00,1.08390661345244,2.91291737675025,3.97956621113366,24.2,34
